"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012021";"120013";"CENTRO DE LANCAMENTO DE ALCANTARA";"-99";"Pregão - Registro de Preço";"67712015284202035";"Objeto: Pregão Eletrônico -  Registro de preços visando futura aquisição de Gêneros alimentícios na classificação de PROTEÍNAS EM GERAL, para o Centro de Lançamento de Alcântara, conforme condições e exigências estabelecido no Edital e seus anexos.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SAO LUIS";"02/08/2021";"03/03/2021";"28125,0000"
"000012021";"120013";"CENTRO DE LANCAMENTO DE ALCANTARA";"7";"Inexigibilidade de Licitação";"67710024106202104";"Objeto: Contratação de empresa especializada na execução de Serviços de Distribuição de Publicidade Legal impressa e/ou eletrônica em veículos de comunicação, para atender as necessidades do Centro de Lançamento de Alcântara.";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"SAO LUIS";"05/08/2021";"";"42000,0000"
"000012021";"153073";"CENTRO DE CIENCIAS AGRARIAS DA UFPB";"-99";"Pregão - Registro de Preço";"23074028919202107";"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de MATERIAIS DE CONSUMO (MEDICAMENTOS DE USO VETERINÁRIO), para atender as demandas do Hospital Universitário Veterinário do Centro de Ciências Agrárias/UFPB   Campus II, conforme condições, quantidades e exigências estabelecidas em edital e seus anexos.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26240";"Universidade Federal da Paraíba";"AREIA";"02/08/2021";"22/06/2021";"13016,0000"
"000012021";"153138";"FACULDADE DE MEDICINA DA UFRJ";"6";"Dispensa de Licitação";"23079217390202180";"Objeto: Aquisição de materiais para a Central de esterilização da Faculdade de Odontologia da UFRJ (UASG incorporada pela Faculdade de Medicina).";"Encerrado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"RIO DE JANEIRO";"04/08/2021";"";"7811,5000"
"000012021";"154040";"FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"6";"Dispensa de Licitação";"23106000001202112";"Objeto: Contratação de fundação de apoio para apoiar a execução e o desenvolvimento do projeto de pesquisa intitulado  Monitoramento, Análise Estrutural e Verificação de Segurança e Desempenho do Edifício do INCRA, utilizando dados de sensores diversos e Inteligência Artificial com uso de Deep Learning .";"Publicado";"26000";"Ministério da Educação";"26271";"Fundação Universidade de Brasília";"BRASILIA";"03/08/2021";"";"739675,5700"
"000012021";"154503";"FUNDACAO UNIVERSIDADE FEDERAL DO ABC";"6";"Dispensa de Licitação";"23006002321202046";"Objeto: Contratação de empresa especializada para a prestação de serviços de mailing jornalístico e de distribuição de releases, para atender as necessidades da fundação Universidade Federal do ABC   UFABC.";"Encerrado";"26000";"Ministério da Educação";"26352";"Fundação Universidade Federal do ABC";"SANTO ANDRE";"02/08/2021";"";"6240,0000"
"000012021";"155008";"HOSPITAL UNIVERSITARIO DO PIAUI";"7";"Inexigibilidade de Licitação";"23524019475202107";"Objeto: Contratação de curso in company em fiscalização de contratos de terceirização de serviços para colaboradores do HU-UFPI.";"Encerrado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"TERESINA";"06/08/2021";"";"20750,0000"
"000012021";"155012";"HOSP UNIVERSITARIO CASSIANO ANTONIO DE MORAES";"7";"Inexigibilidade de Licitação";"23525017681202083";"Objeto: Contratação de empresa especializada na prestação de serviços de manutenção corretiva e preventiva para 01 angiógrafo digital, 01 mamógrafo digital e 01 raio-x telecomandado,  da marca Siemens., pertencentes ao Hospital Universitário Cassiano Antônio Moraes (HUCAM).";"Publicado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"VITORIA";"03/08/2021";"";"691893,6000"
"000012021";"155199";"INST. FED. PIAUI/CAMPUS VALENCA DO PIAUI";"6";"Dispensa de Licitação";"23187000250202191";"Objeto: Chamada publica 012021 aquisição de alimentos da agricultura familiar pnae.";"Publicado";"26000";"Ministério da Educação";"26431";"Instituto Federal do Piauí";"VALENCA DO PIAUI";"02/08/2021";"";"34767,5000"
"000012021";"156059";"INSTITUTO FEDERAL DA BAHIA-BRUMADO";"6";"Dispensa de Licitação";"3846.000569202161";"Objeto: Manutenção Nível II  dos extintores de incêndio instalados no campus Brumado (sendo uma obrigatoriedade às normas de segurança), compreendendo: limpeza dos componentes inspeção de peças e parte interna, ensaios nos componentes, recarga e pressurização, colocação do anel.";"Encerrado";"26000";"Ministério da Educação";"26427";"Instituto Federal da Bahia";"BRUMADO";"03/08/2021";"";"2206,7700"
"000012021";"158136";"INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO";"-99";"Pregão - Registro de Preço";"23294000905202161";"Objeto: Pregão Eletrônico -  Medidor de globo de stress térmico digital portátil composto do sistema de medição com termômetro de globo, termômetro de bulbo úmido e termômetro de bulbo seco";"Publicado";"26000";"Ministério da Educação";"26418";"Instituto Federal de Pernambuco";"RECIFE";"06/08/2021";"20/07/2021";"79066,0000"
"000012021";"158366";"INST.FED. DO RN/CAMPUS CURRAIS NOVOS";"7";"Inexigibilidade de Licitação";"23035001573202191";"Objeto: Contratação de serviço de capacitação para servidor do IFRN Campus Currais Novos no XLV Encontro da ANPAD (EnANPAD 2021), que será realizado nos dias 04 a 10 de outubro de 2021 de forma totalmente online, sendo promovido pela Associação Nacional de Pós-Graduação e Pesquisa em Administração.";"Encerrado";"26000";"Ministério da Educação";"26435";"Instituto Federal do Rio Grande do Norte";"CURRAIS NOVOS";"02/08/2021";"";"600,0000"
"000012021";"158422";"INST.FED. ESPIRITO SANTO/CAMPUS NOVA VENECIA";"-99";"Pregão - Registro de Preço";"23159001567202071";"Objeto: Pregão Eletrônico -  Registro de Preços para aquisição futura de materiais esportivos para atender a demanda do campus Nova Venécia e demais campi participantes, conforme justificado no processo eletrônico nº 23159.001567-2020-71.";"Publicado";"26000";"Ministério da Educação";"26406";"Instituto Federal do Espírito Santo";"NOVA VENECIA";"06/08/2021";"13/07/2021";"0,0000"
"000012021";"158510";"INST.FED.RORAIMA - CAMPUS AMAJARI";"6";"Dispensa de Licitação";"23231000261202144";"Objeto: Contratação de empresa especializada em engenharia para conclusão da obra dos alojamentos do Campus Amajari.";"Publicado";"26000";"Ministério da Educação";"26437";"Instituto Federal de Roraima";"AMAJARI";"03/08/2021";"";"72331,4600"
"000012021";"158718";"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA";"6";"Dispensa de Licitação";"23479017029201928";"Objeto: Contratação de obra remanescente para construção do Núcleo Acadêmico De Psicologia Da Universidade Federal Do Sul E Sudeste Do Pará   UNIFESSPA, localizada na cidade universitária da UNIFESSPA no loteamento Cidade Jardim, Bairro Nova Marabá no Município De Marabá-PA";"Publicado";"26000";"Ministério da Educação";"26448";"Universidade Federal do Sul e Sudeste do Pará";"MARABA";"05/08/2021";"";"1399010,4100"
"000012021";"158951";"CAMPUS BATURITE/IFCE";"7";"Inexigibilidade de Licitação";"23484.000931/2021";"Objeto: Pagamento de inscrição no XLV Encontro da Associação Nacional de Pós-Graduação e Pesquisa em Administração - EnANPAD 2021, para o servidor: Isac de Freitas Brandao, Professor do Ensino Básico, Técnico e Tecnológico do IFCE Campus Baturité.";"Encerrado";"26000";"Ministério da Educação";"26405";"Instituto Federal do Ceará";"BATURITE";"02/08/2021";"";"420,0000"
"000012021";"160022";"21 COMPANHIA DE ENGENHARIA CONSTRUCAO";"7";"Inexigibilidade de Licitação";"64411002028202165";"Objeto: Aquisição do sistema COMPOR 90 para suprir as necessidades da 21ª Cia E Cnst.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"SAO GABRIEL DA CACHOEIRA";"06/08/2021";"";"7427,0000"
"000012021";"160049";"10º DEPOSITO DE SUPRIMENTO";"7";"Inexigibilidade de Licitação";"64455005584202187";"Objeto: Pagamento de Seguro Obrigatório para as Viaturas Militares da Organização Militar referente aos anos de 2009 e 2020.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"FORTALEZA";"05/08/2021";"";"104,0900"
"000012021";"160052";"1 REGIMENTO DE CAVALARIA DE GUARDA";"7";"Inexigibilidade de Licitação";"64670.006834/2021";"Objeto: Contratação de Curso de Capacitação para Meios de Hospedagem para militares do 1º Regimento de Cavalaria de Guardas (1º RCG).";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"BRASILIA";"02/08/2021";"";"1958,7200"
"000012021";"160068";"DEPARTAMENTO DE EDUCACAO E CULTURA DO EXERCIT";"7";"Inexigibilidade de Licitação";"64445004759202158";"Objeto: Serviço de suporte técnico, manutenção remota e atualização de software de gerenciamento e integração de bibliotecas - PERGAMUN";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RIO DE JANEIRO";"06/08/2021";"";"10566,0000"
"000012021";"160157";"9 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"3";"Concorrência";"64047002858202198";"Objeto: Contratação de empresa para o serviço de drenagem, pátio de aeronaves, sinalização horizontal e vertical";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"CUIABA";"06/08/2021";"";"17657577017,0000"
"000012021";"160163";"COMANDO DA 8 REGIAO MILITAR/8 DE";"7";"Inexigibilidade de Licitação";"64319010904202185";"Objeto: Inexigibilidade de Licitação (Serviço de instalação da assinatura do sistema de VIDEOFARMA BANCO DE DADOS COM EXTRAÇÃO DE DADOS) periódico para o Setor de Auditoria de Contas Médicas da seção de Saúde do Comando da 8ª Região Militar.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"BELEM";"06/08/2021";"";"1530,0000"
"000012021";"160192";"BASE DE ADMINISTRACAO E APOIO DA 5ª RM";"5";"Pregão";"65378003868202161";"Objeto: Pregão Eletrônico -  Aquisição de móveis planejados para o Próprio Nacional Residencial (PNR) funcional do comandante da 5ª Região Militar, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"CURITIBA";"02/08/2021";"29/07/2021";"12781,0000"
"000012021";"160217";"5 GRUPO DE ARTILHARIA DE CAMPANHA/AP";"5";"Pregão";"64565001507202119";"Objeto: Pregão Eletrônico -  Escolha da proposta mais vantajosa para instalação e funcionamento de uma Barbearia, através de cessão de uso no interior do 5º GAC AP (imóvel com aprox. 15m²).";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"CURITIBA";"06/08/2021";"05/08/2021";"18,5000"
"000012021";"160230";"15 COMPANHIA DE ENGENHARIA DE COMBATE";"-99";"Pregão - Registro de Preço";"64410000800202114";"Objeto: Pregão Eletrônico -  Aquisição de Gás Liquefeito de Petróleo (GLP)";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"PALMAS";"04/08/2021";"03/08/2021";"63650,0000"
"000012021";"160291";"CENTRO TECNOLOGICO DO EXERCITO";"-99";"Pregão - Registro de Preço";"64219000737202192";"Objeto: Pregão Eletrônico -  Aquisição de Medicamentos e insumos para Seção de Saúde.";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RIO DE JANEIRO";"03/08/2021";"31/05/2021";"734,0000"
"000012021";"160303";"BASE DE ADMINISTRACAO E APOIO DA 1 RM";"5";"Pregão";"64006000275202117";"Objeto: Pregão Eletrônico -  Serviço continuado de limpeza e conservação de áreas internas, externas, esquadrias face internas que compreenderá, além da mão de obra, o fornecimento de todos os insumos e materiais e o emprego de equipamentos necessários à execução dos serviços, conforme condições, quantidades e exigências estabelecidas neste edital e seus anexos- (unidade de fornecimento - serviço).";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RIO DE JANEIRO";"04/08/2021";"29/06/2021";"1734269,8800"
"000012021";"160321";"ESTABELECIMENTO CENTRAL DE TRANSPORTE";"-99";"Pregão - Registro de Preço";"64533001581/2020";"Objeto: Pregão Eletrônico -  Registro de Preços para eventual Contratação de empresa para execução de serviço comum de engenharia para manutenção predial em instalações do ESTABELECIMENTO CENTRAL DE TRANSPORTES (ECT) e dos órgãos participantes";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"RIO DE JANEIRO";"02/08/2021";"07/04/2021";"0,0000"
"000012021";"160366";"13 GRUPO DE ARTILHARIA DE CAMPANHA";"-99";"Pregão - Registro de Preço";"64548.000789/2021";"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios, gás e lenha, destinados ao Setor de Aprovisionamento do 13º Grupo de Artilharia de Campanha e Organizações Militares pertencentes ao GCALC da Guarnição de Cachoeira do Sul/RS.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"CACHOEIRA DO SUL";"04/08/2021";"29/07/2021";"41040,0000"
"000012021";"160421";"9 BATALHAO LOGISTICO";"-99";"Pregão - Registro de Preço";"64130.000639/2021";"Objeto: Pregão Eletrônico -  Aquisição  graxas, lubrificantes e produtos químicos para uso militar na manutenção de  veículos, viaturas blindadas e equipamentos.";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"SANTIAGO";"02/08/2021";"22/06/2021";"630299,3500"
"000012021";"160526";"3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO";"7";"Inexigibilidade de Licitação";"64418005237202010";"Objeto: Serviço especializado na área de otorrinolaringologia.";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"DOM PEDRITO";"06/08/2021";"";"1,0000"
"000012021";"170072";"DELEGACIA DA RFB EM ARACAJU";"6";"Dispensa de Licitação";"10510724882202139";"Objeto: Contratação de pessoa jurídica para fornecimento e instalação de divisórias do tipo naval e forro de gesso acartonado no Posto de Atendimento de Itabaiana/SE.";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"ARACAJU";"05/08/2021";"";"3450,0000"
"000012021";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"7";"Inexigibilidade de Licitação";"1100072337820214";"Objeto: Locação de imóvel situado na rua Coronel Sarmento, nº 1.699, Gravataí/RS, para sede da Agência da Receita Federal de Gravataí, pelo prazo de 60 meses";"Publicado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"PORTO ALEGRE";"04/08/2021";"";"387000,0000"
"000012021";"170262";"DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"-99";"Pregão - Registro de Preço";"13884722611202199";"Objeto: Pregão Eletrônico -  Registro de preços para contratação de serviços especializados e contínuos em regime de dedicação exclusiva de mão de obra de motorista.";"Evento de Resultado de Julgame";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"SAO JOSE DOS CAMPOS";"05/08/2021";"29/07/2021";"108018,7200"
"000012021";"193117";"IBAMA - SUPERINTENDENCIA DO PIAUI/PI";"5";"Pregão";"02020.000560/2021";"Objeto: Pregão Eletrônico -  Contratação de Serviço de Telecomunicação Multimídia (SCM) - Circuito de Internet em Banda Larga, com o fornecimento de 04 (quatro) links de acesso (mediante fibra óptica ou ADSL), com 01 (um) IP fixo em cada, incluindo todo o material necessário, em atendimento à demanda da Superintendência do Ibama/PI e Unidade Técnica de Parnaíba.";"Publicado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"TERESINA";"02/08/2021";"28/07/2021";"24000,0000"
"000012021";"200109";"DEPTO.DE POLICIA RODOVIARIA FEDERAL";"7";"Inexigibilidade de Licitação";"08650003975202180";"Objeto: Contratação de serviço de manutenção preventiva, corretiva e calibração, bem como o fornecimento de peças e acessórios específicos, inclusive baterias, para etilômetros da marca ALCOLIZER, modelo LE5, e suas respectivas impressoras, conforme condições, quantidades e exigências no Projeto Básico.";"Publicado";"30000";"Ministério da Justiça e Segurança Pública";"30802";"Departamento de Polícia Rodoviária Federal";"BRASILIA";"04/08/2021";"";"1672826,0600"
"000012021";"200354";"SUPERINTENDENCIA REGIONAL NO ESTADO DO MS";"1";"Convite";"08335007735202046";"Informação protegida por sigilo nos termos da legislação vigente";"Evento de Resultado de Julgame";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"CAMPO GRANDE";"06/08/2021";"";"164187,4200"
"000012021";"200386";"SUPERINTENDENCIA REGIONAL NO ESTADO DO PA";"7";"Inexigibilidade de Licitação";"08360003439202140";"Informação protegida por sigilo nos termos da legislação vigente";"Encerrado";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"BELEM";"05/08/2021";"";"1680,0000"
"000012021";"244001";"FUNDACAO ALEXANDRE DE GUSMAO";"7";"Inexigibilidade de Licitação";"09100000133202165";"Objeto: Capacitação dos servidores Natália Guimarães da Silva, Dirceu Ricardo Lemos Ceccato, Victor Davi Pereira Gonçalves, Rodrigo de Souza Silva, Hugo Martins Melo, Tatiane Freita Silva Fonseca, e Wilson Agra Marapodi, no curso 'Nova Lei de Licitações e Contratos: Teoria e Prática , nos dias 9, 10, 12, 16, 17, 18 e 19 de agosto de 2021, a ser realizado pela empresa 'Escola Superior de Advocacia - ESA-OAB/DF', CNPJ nº 00.368.019/0001-95.";"Encerrado";"35000";"Ministério das Relações Exteriores";"35201";"Fundação Alexandre de Gusmão";"BRASILIA";"04/08/2021";"";"1470,0000"
"000012021";"254501";"INSTITUTO DE CIENCIA E TEC. EM BIOMODELOS";"7";"Inexigibilidade de Licitação";"25420000332202115";"Objeto: Manutenção do equipamento StepOne plus";"Encerrado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"RIO DE JANEIRO";"05/08/2021";"";"11521,3900"
"000012021";"333005";"COORDENACAO GERAL DE PATRIMONIO E LOGISTICA";"5";"Pregão";"44011002534202150";"Objeto: Pregão Eletrônico -  Contratação de serviços continuado de copeiragem (copeira e garçom), com o fornecimento de todo material de consumo relacionado e necessário à execução dos serviços, nas dependências desta Superintendência Nacional de Previdência Complementar - PREVIC, conforme condições, quantidades e exigências estabelecidas neste termo de referência";"Publicado";"25000";"Ministério da Economia";"33206";"Superintendência Nacional de Previdência Comp";"BRASILIA";"03/08/2021";"30/07/2021";"132080,0000"
"000012021";"343042";"SUPERINTENDENCIA DO IPHAN NO MATO GROSSO - MT";"5";"Pregão";"01425000132202146";"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para a prestação de serviços continuados de limpeza, asseio e conservação predial, com fornecimento de materiais, utensílios e equipamentos, com disponibilização de mão de obra em regime de dedicação exclusiva para atender à Unidade da Superintendência do IPHAN em Mato Grosso, conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.";"Evento de Resultado de Julgame";"54000";"Ministério do Turismo";"20411";"Instituto do Patrimônio Histórico e Artístico";"CUIABA";"02/08/2021";"28/06/2021";"46042,0000"
"000012021";"403201";"FUNDACAO NACIONAL DE ARTES";"5";"Pregão";"01530000569202000";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada, de forma contínua, sem fornecimento de mão de obra exclusiva, na prestação de serviços editoriais relacionados à produção de livros em todas as etapas de produção editorial, visando o atendimento das demandas da Gerência de Edições, localizada à Rua São José, 50/11º andar - Centro - Rio de Janeiro - RJ, pertencente à FUNARTE, conforme especificações, condições, quantidades e exigências estabelecidas no Edital e anexos.";"Evento de Resultado de Julgame";"54000";"Ministério do Turismo";"20412";"Fundação Nacional de Artes";"RIO DE JANEIRO";"03/08/2021";"08/07/2021";"454099,0000"
"000012021";"710100";"TRIBUNAL MARITIMO";"5";"Pregão";"61229002899202158";"Objeto: Pregão Eletrônico -  Contratação do serviço de pintura e restauração da fachada do Tribunal Marítimo.";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RIO DE JANEIRO";"04/08/2021";"29/07/2021";"44985,2000"
"000012021";"712000";"SECRETARIA DA COMISSAO INTERMINIST.P/REC.MAR";"5";"Pregão";"61165.000149/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa para prestação de serviços de confecção e fornecimento de refeições prontas, sobremesas, bebidas, lanches prontos e gelo (seco e comum), em prol dos voos de apoio logístico do Programa Antártico Brasileiro (PROANTAR).";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"BRASILIA";"05/08/2021";"13/07/2021";"189996,4600"
"000012021";"731050";"BATALHAO NAVAL";"-99";"Pregão - Registro de Preço";"63107005039202005";"Objeto: Pregão Eletrônico -  Aquisição de Capacetes Prussianos para a Companhia de Polícia do Batalhão Naval.";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RIO DE JANEIRO";"02/08/2021";"02/06/2021";"72500,0000"
"000012021";"746000";"DIRETORIA DE OBRAS CIVIS DA MARINHA";"6";"Dispensa de Licitação";"63073000469202148";"Objeto: Contratação da prestação de serviços de telefonia móvel pessoal (SMP)";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RIO DE JANEIRO";"02/08/2021";"";"5398,8000"
"000012021";"752000";"DIRETORIA DE PORTOS E COSTAS";"-99";"Pregão - Registro de Preço";"63012000669202115";"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de gêneros frigorificados/secos, visando atender a Diretoria de Portos e Costas da Marinha e as organizações apoiadas.";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"RIO DE JANEIRO";"02/08/2021";"30/04/2021";"0,0000"
